this	nr	hwnd	procID	procName	class	title	pos/size	state
0x36b14fd6: 44	0x7c08c050	0x15e7edd6	('notes.exe')	'Ime'	'Default Ime'	0;0/1;1 (1x1)	[hidden]
0x36b14fd6: 45	0x7c0957a0	0xf627f902	('remote.exe')	'MyMobiler'	'MyMobiler'	0;36/480;800 (480x764)	[hidden]
0x36b14fd6: 46	0x7c094740	0x9882897e	('wpctsc.exe')	'RDPClipboardWindowClass'	'Client Clipboard - Clipboard Thread'	0;0/256;100 (256x100)	[hidden]
0x36b14fd6: 47	0x7c0940b0	0x9882897e	('wpctsc.exe')	'TSNotifyWndClass'	'TSNotificationWindow'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 48	0x7c093e40	0x9882897e	('wpctsc.exe')	'TSNotifyWndClass'	'TSNotificationWindow'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 49	0x7c093bd0	0x9882897e	('wpctsc.exe')	'TSNotifyWndClass'	'TSNotificationWindow'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 50	0x7c093980	0x9882897e	('wpctsc.exe')	'COMPIMEUI'	'COMPIMEUI'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 51	0x7c08f720	0x9882897e	('wpctsc.exe')	'TSNotifyWndClass'	'TSNotificationWindow'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 52	0x7c08ed40	0x9882897e	('wpctsc.exe')	'Ime'	'Default Ime'	0;0/1;1 (1x1)	[hidden]
0x36b14fd6: 53	0x7c092d40	0x381f854e	('tmail.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 54	0x7c092b50	0x381f854e	('tmail.exe')	'menu_worker'	''	0;732/480;800 (480x68)	[hidden]
0x36b14fd6: 55	0x7c0928f0	0x381f854e	('tmail.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 56	0x7c092280	0x381f854e	('tmail.exe')	'Mapi.MainWnd'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 57	0x7c092130	0x381f854e	('tmail.exe')	'Inbox.MainWnd'	'Messaging'	0;36/480;732 (480x696)	[hidden]
0x36b14fd6: 58	0x7c07c3d0	0x3a5ded22	('shell32.exe')	'CONFETTIPLUS TITLEBARLIST'	'TitleBarList'	0;36/480;122 (480x86)	[hidden]
0x36b14fd6: 59	0x7c088df0	0x18828c72	('repllog.exe')	'PolApp Window'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 60	0x7c088970	0x18828c72	('repllog.exe')	'Mapi.MainWnd'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 61	0x7c082fd0	0x3a5ded22	('shell32.exe')	'SSUpdate.MainWnd'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 62	0x7c088730	0x18828c72	('repllog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 63	0x7c088540	0x18828c72	('repllog.exe')	'menu_worker'	''	0;732/480;800 (480x68)	[visible]
0x36b14fd6: 64	0x7c088410	0x18828c72	('repllog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 65	0x7c088110	0x18828c72	('repllog.exe')	'ActiveSync'	'ActiveSync'	0;36/480;732 (480x696)	[visible]
0x36b14fd6: 66	0x7c083bf0	0x3d089b16	('cprog.exe')	'PolApp Window'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 67	0x7c07f0e0	0x3d089b16	('cprog.exe')	'Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 68	0x7c07cbe0	0x3d089b16	('cprog.exe')	'XMEThreadPlayer Wnd Class'	''	0;36/480;800 (480x764)	[hidden]
0x36b14fd6: 69	0x7c07e330	0x3a5ded22	('shell32.exe')	'SIMInit'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 70	0x7c07d9d0	0x3a5ded22	('shell32.exe')	'Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 71	0x7c07dcd0	0xda3a5442	('services.exe')	'WLMContactsPlugin.WndClass'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 72	0x7c07c670	0x3a5ded22	('shell32.exe')	'Mapi.MainWnd'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 73	0x7c07b9c0	0x3a5ded22	('shell32.exe')	'Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 74	0x7c07b8d0	0x3a5ded22	('shell32.exe')	'Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 75	0x7c07ad20	0x3d089b16	('cprog.exe')	'Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 76	0x7c0798b0	0x3d089b16	('cprog.exe')	'VoIPCanvasNotificationWindowClass'	'VoIP Canvas Notification Window'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 77	0x7c079690	0x3d089b16	('cprog.exe')	'PolApp Window'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 78	0x7c079230	0x3d089b16	('cprog.exe')	'CallPol'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 79	0x7c078470	0x3d089b16	('cprog.exe')	'MSCprog'	'Phone '	0;36/480;732 (480x696)	[hidden]
0x36b14fd6: 80	0x7c078010	0x596bfc82	('connmgr.exe')	'ConnMgrWndClass'	'SchedConnNotify'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 81	0x7c072820	0x596bfc82	('connmgr.exe')	'StatStore Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 82	0x7c072950	0x596bfc82	('connmgr.exe')	'ConnMgrWndClass'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 83	0x7c072670	0x596bfc82	('connmgr.exe')	'StatStore Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 84	0x7c072520	0x596bfc82	('connmgr.exe')	'StatStore Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 85	0x7c077720	0x596bfc82	('connmgr.exe')	'ConnMgrWndClass'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 86	0x7c077d50	0x596bfc82	('connmgr.exe')	'ConnMgrWndClass'	'ConnMgrSink'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 87	0x7c077a80	0x3a5ded22	('shell32.exe')	'SimPolicy'	'SimPolicy'	0;36/480;800 (480x764)	[hidden]
0x36b14fd6: 88	0x7c072330	0x3a5ded22	('shell32.exe')	'BIPManager.Class'	'BIP Manager Window'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 89	0x7c077120	0x9aaf950a	('gwes.exe')	'TOUCHSTUBWND_CLASS'	''	0;0/1;1 (1x1)	[hidden]
0x36b14fd6: 90	0x7c075d80	0x3a5ded22	('shell32.exe')	'COMPIMEUI'	'COMPIMEUI'	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 91	0x7c075c70	0x3a5ded22	('shell32.exe')	'Ime'	'Default Ime'	0;0/1;1 (1x1)	[hidden]
0x36b14fd6: 92	0x7c07a830	0x3d089b16	('cprog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 93	0x7c079e40	0x3d089b16	('cprog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 94	0x7c079c50	0x3d089b16	('cprog.exe')	'menu_worker'	''	0;-100/0;-100 (0x0)	[visible]
0x36b14fd6: 95	0x7c079b20	0x3d089b16	('cprog.exe')	'StatStore Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 96	0x7c0751f0	0xda3a5442	('services.exe')	'Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 97	0x7c074e80	0xda3a5442	('services.exe')	'Worker'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 98	0x7c0745d0	0x7d67f242	('device.exe')	'SinkWiredNetUI'	''	-10;-10/-5;-5 (5x5)	[hidden]
0x36b14fd6: 99	0x7c073e00	0xda3a5442	('services.exe')	'WinCENotify'	'WinCENotify'	0;0/480;800 (480x800)	[hidden]
0x36b14fd6: 100	0x7c07a330	0x3d089b16	('cprog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 101	0x7c07a140	0x3d089b16	('cprog.exe')	'menu_worker'	''	0;732/480;800 (480x68)	[visible]
0x36b14fd6: 102	0x7c07a030	0x3d089b16	('cprog.exe')	'MSClog'	'Phone '	0;36/480;732 (480x696)	[hidden]
0x36b14fd6: 103	0x7c07b3d0	0x190dad9a	('poutlook.exe')	'MSPOutlook'	''	100000;0/100000;0 (0x0)	[visible]
0x36b14fd6: 104	0x7c07fa80	0x3d089b16	('cprog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 105	0x7c07f890	0x3d089b16	('cprog.exe')	'menu_worker'	''	0;732/480;800 (480x68)	[visible]
0x36b14fd6: 106	0x7c07f7a0	0x3d089b16	('cprog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 107	0x7c07e6f0	0x3d089b16	('cprog.exe')	'Dialog'	'Phone '	0;36/480;732 (480x696)	[hidden]
0x36b14fd6: 108	0x7c0824e0	0x3d089b16	('cprog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 109	0x7c0822f0	0x3d089b16	('cprog.exe')	'menu_worker'	''	0;732/480;800 (480x68)	[visible]
0x36b14fd6: 110	0x7c07fff0	0x3d089b16	('cprog.exe')	'Dialog'	'Phone '	0;36/480;732 (480x696)	[hidden]
0x36b14fd6: 111	0x7c0857c0	0x3d089b16	('cprog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 112	0x7c0855d0	0x3d089b16	('cprog.exe')	'menu_worker'	''	0;732/480;800 (480x68)	[visible]
0x36b14fd6: 113	0x7c084aa0	0x3d089b16	('cprog.exe')	'tooltips_class32'	''	0;0/0;0 (0x0)	[hidden]
0x36b14fd6: 114	0x7c0836a0	0x3d089b16	('cprog.exe')	'Dialog'	'Phone '	0;36/480;732 (480x696)	[hidden]
0x36b14fd6: 115	0x7c095bb0	0x9882897e	('wpctsc.exe')	'listbox'	''	-2;68/299;267 (301x199)	[hidden]
